Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR,Valvula
3480,1.64,2420.29,2307.62,112.677,32.892,75.192,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2389.23,2272.47,116.756,32.815,75.067,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2365.43,2244.17,121.253,32.784,74.994,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2351.01,2225.55,125.465,32.797,75.117,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2347.04,2217.88,129.159,32.825,75.302,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2353.65,2221.38,132.274,32.853,75.344,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2370.02,2235.40,134.613,32.849,75.127,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2392.47,2256.42,136.05,32.836,74.778,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2418.08,2281.22,136.861,32.846,74.575,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2445.73,2308.59,137.146,32.872,74.565,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2473.86,2336.86,136.995,32.907,74.593,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2499.83,2363.42,136.415,32.92,74.6,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2524.62,2389.47,135.15,32.911,74.573,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2550.51,2417.30,133.21,32.912,74.505,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2574.66,2443.98,130.675,32.904,74.443,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2593.52,2465.77,127.745,32.852,74.405,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2606.26,2481.45,124.811,32.781,74.373,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2614.77,2492.37,122.397,32.746,74.417,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2623.95,2503.31,120.648,32.755,74.568,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2637.79,2518.36,119.427,32.786,74.788,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2655.91,2536.96,118.947,32.827,75.033,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2676.24,2556.86,119.376,32.869,75.146,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2697.29,2576.50,120.796,32.916,75.069,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2718.45,2595.33,123.12,32.961,74.928,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2737.79,2612.15,125.642,32.969,74.809,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2753.39,2625.39,127.996,32.906,74.782,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2762.65,2632.46,130.19,32.778,74.821,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2764.92,2633.23,131.693,32.662,74.813,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2760.61,2628.76,131.859,32.636,74.741,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2748.39,2617.73,130.662,32.697,74.681,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2726.92,2598.78,128.134,32.774,74.526,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2695.70,2571.14,124.554,32.8,74.141,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2656.25,2535.56,120.686,32.785,73.718,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2611.67,2494.61,117.059,32.766,73.587,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2566.71,2452.57,114.147,32.738,73.85,221.6,4.76,0.57,608.6,862.7,P2
3480,1.65,2526.19,2413.67,112.523,32.725,74.317,221.6,4.76,0.57,608.6,862.7,P2
